Date,Kick Off (local),Home Team,Away Team,Venue,Home Score,Away Score,Play Off Game?,Home Odds Close,Away Odds Close,Winning Team,lat,long,Weather
2019-06-29,13:45:00,Hawthorn,West Coast,MCG,71,77,0,2.15,1.75,West Coast,28.4594965,77.0266383,
2019-06-28,19:50:00,Geelong,Adelaide,GMHBA Stadium,96,69,0,1.25,4.15,Geelong,-38.1579979,144.354673,0.0
2019-06-27,19:20:00,Essendon,GWS Giants,Marvel Stadium,77,71,0,2.3,1.65,Essendon,-37.8165647,144.9475055,0.0
2019-06-23,15:20:00,Western Bulldogs,Collingwood,Marvel Stadium,73,82,0,3.85,1.28,Collingwood,-37.8165647,144.9475055,0.6
2019-06-22,19:10:00,Port Adelaide,Geelong,Adelaide Oval,67,56,0,2.75,1.48,Port Adelaide,-34.9156274,138.5963065,0.0
2019-06-22,16:35:00,St Kilda,Brisbane,Marvel Stadium,59,115,0,2.18,1.72,Brisbane,-37.8165647,144.9475055,2.2
2019-06-22,13:45:00,Melbourne,Fremantle,MCG,85,71,0,1.6,2.4,Melbourne,28.4594965,77.0266383,0.0
2019-06-21,19:50:00,Sydney,Hawthorn,Sydney Cricket Ground,82,63,0,1.52,2.62,Sydney,-33.8915316,151.2248515,0.0
2019-06-20,18:10:00,West Coast,Essendon,Optus Stadium,106,71,0,1.38,3.2,West Coast,-31.9511355,115.8890382,0.0
2019-06-16,15:20:00,North Melbourne,GWS Giants,Blundstone Arena,68,91,0,2.55,1.54,GWS Giants,-42.8772963,147.3740128,0.2
2019-06-15,19:25:00,Carlton,Western Bulldogs,Marvel Stadium,100,103,0,2.62,1.52,Western Bulldogs,-37.8165647,144.9475055,1.8
2019-06-15,14:35:00,Fremantle,Port Adelaide,Optus Stadium,100,79,0,1.83,2.02,Fremantle,-31.9511355,115.8890382,8.8
2019-06-15,13:45:00,Gold Coast,St Kilda,Riverway Stadium,76,80,0,2.55,1.54,St Kilda,-19.3176322,146.7318756,0.0
2019-06-14,19:50:00,Essendon,Hawthorn,Marvel Stadium,96,77,0,1.65,2.3,Essendon,-37.8165647,144.9475055,1.4
2019-06-13,19:20:00,Adelaide,Richmond,Adelaide Oval,101,68,0,1.2,4.8,Adelaide,-34.9156274,138.5963065,1.2
2019-06-10,15:20:00,Collingwood,Melbourne,MCG,98,57,0,1.42,3.0,Collingwood,28.4594965,77.0266383,
