Date,Round,Venue,A_Team,B_Team,Winner
2016-03-27 16:40:00,1,Subiaco,Brisbane Lions,West Coast,West Coast
2016-03-28 15:20:00,1,M.C.G.,Hawthorn,Geelong,Geelong
2016-04-01 19:50:00,2,M.C.G.,Richmond,Collingwood,Collingwood
2016-04-02 13:15:00,2,Adelaide Oval,Port Adelaide,Adelaide,Adelaide
2016-04-02 14:10:00,2,M.C.G.,Melbourne,Essendon,Essendon
2016-04-02 15:35:00,2,Gabba,North Melbourne,Brisbane Lions,North Melbourne
2016-04-02 16:40:00,2,Subiaco,Gold Coast,Fremantle,Gold Coast
2016-04-02 19:25:00,2,Docklands,Western Bulldogs,St Kilda,Western Bulldogs
2016-04-03 13:10:00,2,Manuka Oval,Geelong,Greater Western Sydney,Greater Western Sydney
2016-04-03 15:20:00,2,M.C.G.,West Coast,Hawthorn,Hawthorn
2016-04-03 16:40:00,2,Docklands,Sydney,Carlton,Sydney
2016-04-08 19:20:00,3,Adelaide Oval,Essendon,Port Adelaide,Port Adelaide
2016-04-09 13:45:00,3,M.C.G.,Collingwood,St Kilda,St Kilda
2016-04-09 14:10:00,3,Docklands,Adelaide,Richmond,Adelaide
2016-04-09 16:35:00,3,S.C.G.,Greater Western Sydney,Sydney,Sydney
2016-04-09 17:40:00,3,Subiaco,Fremantle,West Coast,West Coast
2016-04-09 19:25:00,3,Carrara,Carlton,Gold Coast,Gold Coast
2016-04-10 13:10:00,3,Bellerive Oval,Melbourne,North Melbourne,North Melbourne
2016-04-10 15:20:00,3,Docklands,Hawthorn,Western Bulldogs,Hawthorn
2016-04-10 16:40:00,3,Kardinia Park,Brisbane Lions,Geelong,Geelong
2016-04-15 18:10:00,4,Subiaco,Richmond,West Coast,West Coast
2016-04-16 13:45:00,4,M.C.G.,Geelong,Essendon,Geelong
2016-04-16 14:10:00,4,York Park,St Kilda,Hawthorn,Hawthorn
2016-04-16 16:35:00,4,Gabba,Gold Coast,Brisbane Lions,Brisbane Lions
2016-04-16 19:10:00,4,Adelaide Oval,Sydney,Adelaide,Adelaide
2016-04-16 19:25:00,4,Docklands,Western Bulldogs,Carlton,Western Bulldogs
2016-04-17 13:10:00,4,Manuka Oval,Port Adelaide,Greater Western Sydney,Greater Western Sydney
2016-04-17 15:20:00,4,M.C.G.,Melbourne,Collingwood,Melbourne
2016-04-17 16:40:00,4,Docklands,Fremantle,North Melbourne,North Melbourne
2016-04-22 19:50:00,5,M.C.G.,Adelaide,Hawthorn,Hawthorn
2016-04-23 13:45:00,5,S.C.G.,West Coast,Sydney,Sydney
2016-04-23 16:35:00,5,Carrara,North Melbourne,Gold Coast,North Melbourne
2016-04-23 19:15:00,5,Adelaide Oval,Geelong,Port Adelaide,Geelong
2016-04-23 19:25:00,5,Docklands,Brisbane Lions,Western Bulldogs,Western Bulldogs
2016-04-24 13:10:00,5,Docklands,Greater Western Sydney,St Kilda,Greater Western Sydney
2016-04-24 14:15:00,5,Subiaco,Carlton,Fremantle,Carlton
2016-04-24 19:10:00,5,M.C.G.,Richmond,Melbourne,Melbourne
2016-04-25 15:20:00,5,M.C.G.,Essendon,Collingwood,Collingwood
2016-04-29 19:50:00,6,Docklands,Western Bulldogs,North Melbourne,North Melbourne
2016-04-30 13:40:00,6,Adelaide Oval,Fremantle,Adelaide,Adelaide
2016-04-30 13:45:00,6,Docklands,St Kilda,Melbourne,St Kilda
2016-04-30 16:35:00,6,Sydney Showground,Hawthorn,Greater Western Sydney,Greater Western Sydney
2016-04-30 19:25:00,6,Kardinia Park,Gold Coast,Geelong,Geelong
2016-04-30 19:25:00,6,M.C.G.,Port Adelaide,Richmond,Port Adelaide
2016-05-01 13:10:00,6,Gabba,Sydney,Brisbane Lions,Sydney
2016-05-01 14:40:00,6,Subiaco,Collingwood,West Coast,West Coast
2016-05-01 15:20:00,6,M.C.G.,Essendon,Carlton,Carlton
2016-05-06 19:50:00,7,M.C.G.,Hawthorn,Richmond,Hawthorn
2016-05-07 13:45:00,7,M.C.G.,Carlton,Collingwood,Carlton
2016-05-07 14:10:00,7,Kardinia Park,West Coast,Geelong,Geelong
2016-05-07 16:35:00,7,S.C.G.,Essendon,Sydney,Sydney
2016-05-07 17:10:00,7,Carrara,Melbourne,Gold Coast,Melbourne
2016-05-07 18:10:00,7,Subiaco,Greater Western Sydney,Fremantle,Greater Western Sydney
2016-05-07 19:40:00,7,Docklands,Adelaide,Western Bulldogs,Western Bulldogs
2016-05-08 15:20:00,7,Docklands,North Melbourne,St Kilda,North Melbourne
2016-05-08 16:10:00,7,Adelaide Oval,Brisbane Lions,Port Adelaide,Port Adelaide
2016-05-13 19:20:00,8,Adelaide Oval,Geelong,Adelaide,Geelong
2016-05-14 13:45:00,8,Docklands,North Melbourne,Essendon,North Melbourne
2016-05-14 14:10:00,8,York Park,Fremantle,Hawthorn,Hawthorn
2016-05-14 16:35:00,8,Sydney Showground,Gold Coast,Greater Western Sydney,Greater Western Sydney
2016-05-14 19:25:00,8,Gabba,Collingwood,Brisbane Lions,Collingwood
2016-05-14 19:25:00,8,M.C.G.,Sydney,Richmond,Richmond
2016-05-15 13:10:00,8,Docklands,Port Adelaide,Carlton,Carlton
2016-05-15 14:40:00,8,Subiaco,St Kilda,West Coast,West Coast
2016-05-15 15:20:00,8,M.C.G.,Western Bulldogs,Melbourne,Western Bulldogs
2016-05-20 19:50:00,9,M.C.G.,Sydney,Hawthorn,Sydney
2016-05-21 13:45:00,9,M.C.G.,Geelong,Collingwood,Collingwood
2016-05-21 14:10:00,9,Carrara,Adelaide,Gold Coast,Adelaide
2016-05-21 16:05:00,9,Adelaide Oval,West Coast,Port Adelaide,West Coast
2016-05-21 17:40:00,9,Subiaco,Richmond,Fremantle,Richmond
2016-05-21 19:25:00,9,Docklands,Carlton,North Melbourne,North Melbourne
2016-05-22 13:10:00,9,M.C.G.,Brisbane Lions,Melbourne,Melbourne
2016-05-22 15:20:00,9,Sydney Showground,Western Bulldogs,Greater Western Sydney,Greater Western Sydney
2016-05-22 16:40:00,9,Docklands,Essendon,St Kilda,St Kilda
2016-05-27 19:50:00,10,S.C.G.,North Melbourne,Sydney,Sydney
2016-05-28 13:40:00,10,Traeger Park,Port Adelaide,Melbourne,Port Adelaide
2016-05-28 13:45:00,10,Gabba,Hawthorn,Brisbane Lions,Hawthorn
2016-05-28 16:35:00,10,Docklands,Fremantle,St Kilda,St Kilda
2016-05-28 19:10:00,10,Adelaide Oval,Greater Western Sydney,Adelaide,Adelaide
2016-05-28 19:25:00,10,M.C.G.,Richmond,Essendon,Richmond
2016-05-29 13:10:00,10,Docklands,Geelong,Carlton,Carlton
2016-05-29 14:40:00,10,Subiaco,Gold Coast,West Coast,West Coast
2016-05-29 15:20:00,10,M.C.G.,Western Bulldogs,Collingwood,Western Bulldogs
2016-06-03 19:50:00,11,Bellerive Oval,Richmond,North Melbourne,North Melbourne
2016-06-04 13:45:00,11,M.C.G.,Melbourne,Hawthorn,Hawthorn
2016-06-04 14:10:00,11,Docklands,Brisbane Lions,Carlton,Carlton
2016-06-04 16:35:00,11,Kardinia Park,Greater Western Sydney,Geelong,Geelong
2016-06-04 17:40:00,11,Subiaco,Essendon,Fremantle,Fremantle
2016-06-04 19:25:00,11,Carrara,Sydney,Gold Coast,Sydney
2016-06-05 13:10:00,11,M.C.G.,Port Adelaide,Collingwood,Port Adelaide
2016-06-05 15:20:00,11,Docklands,West Coast,Western Bulldogs,Western Bulldogs
2016-06-05 16:10:00,11,Adelaide Oval,St Kilda,Adelaide,Adelaide
2016-06-10 19:50:00,12,Docklands,Hawthorn,Essendon,Hawthorn
2016-06-11 13:10:00,12,Adelaide Oval,Western Bulldogs,Port Adelaide,Western Bulldogs
2016-06-11 16:35:00,12,Gabba,Fremantle,Brisbane Lions,Fremantle
2016-06-11 17:40:00,12,Subiaco,Adelaide,West Coast,Adelaide
2016-06-11 19:25:00,12,Docklands,North Melbourne,Geelong,Geelong
2016-06-12 13:10:00,12,Docklands,Carlton,St Kilda,St Kilda
2016-06-12 15:20:00,12,M.C.G.,Gold Coast,Richmond,Richmond
2016-06-12 16:40:00,12,Sydney Showground,Sydney,Greater Western Sydney,Greater Western Sydney
2016-06-13 15:20:00,12,M.C.G.,Collingwood,Melbourne,Melbourne
2016-06-17 19:50:00,13,Docklands,Hawthorn,North Melbourne,Hawthorn
2016-06-18 13:40:00,13,Gabba,West Coast,Brisbane Lions,West Coast
2016-06-18 14:35:00,13,Subiaco,Port Adelaide,Fremantle,Fremantle
2016-06-18 19:25:00,13,Docklands,Geelong,Western Bulldogs,Geelong
2016-06-19 13:10:00,13,S.C.G.,Melbourne,Sydney,Sydney
2016-06-19 16:40:00,13,Docklands,Greater Western Sydney,Essendon,Greater Western Sydney
2016-06-23 19:20:00,14,Adelaide Oval,North Melbourne,Adelaide,Adelaide
2016-06-24 19:50:00,14,M.C.G.,Fremantle,Collingwood,Collingwood
2016-06-25 13:40:00,14,M.C.G.,Brisbane Lions,Richmond,Richmond
2016-06-25 16:35:00,14,Sydney Showground,Carlton,Greater Western Sydney,Greater Western Sydney
2016-06-25 19:25:00,14,Docklands,Geelong,St Kilda,St Kilda
2016-06-26 15:20:00,14,York Park,Gold Coast,Hawthorn,Hawthorn
2016-06-30 18:10:00,15,Subiaco,Essendon,West Coast,West Coast
2016-07-01 19:20:00,15,Adelaide Oval,Richmond,Port Adelaide,Port Adelaide
2016-07-02 13:40:00,15,Carrara,St Kilda,Gold Coast,Gold Coast
2016-07-02 16:35:00,15,S.C.G.,Western Bulldogs,Sydney,Western Bulldogs
2016-07-02 19:25:00,15,M.C.G.,Collingwood,Carlton,Collingwood
2016-07-03 15:20:00,15,M.C.G.,Adelaide,Melbourne,Adelaide
2016-07-07 19:20:00,16,Adelaide Oval,Hawthorn,Port Adelaide,Hawthorn
2016-07-08 19:50:00,16,Kardinia Park,Sydney,Geelong,Sydney
2016-07-09 13:40:00,16,Sydney Showground,Collingwood,Greater Western Sydney,Collingwood
2016-07-09 16:35:00,16,Carrara,Brisbane Lions,Gold Coast,Gold Coast
2016-07-09 19:10:00,16,Marrara Oval,Fremantle,Melbourne,Melbourne
2016-07-09 19:25:00,16,Docklands,Richmond,Western Bulldogs,Western Bulldogs
2016-07-10 13:10:00,16,M.C.G.,Adelaide,Carlton,Adelaide
2016-07-10 13:20:00,16,Subiaco,North Melbourne,West Coast,West Coast
2016-07-10 16:40:00,16,Docklands,St Kilda,Essendon,St Kilda
2016-07-14 19:20:00,17,S.C.G.,Hawthorn,Sydney,Hawthorn
2016-07-15 18:10:00,17,Subiaco,Geelong,Fremantle,Geelong
2016-07-16 13:40:00,17,M.C.G.,Essendon,Richmond,Richmond
2016-07-16 16:35:00,17,Docklands,Port Adelaide,North Melbourne,Port Adelaide
2016-07-16 19:10:00,17,Adelaide Oval,Collingwood,Adelaide,Adelaide
2016-07-16 19:25:00,17,Cazaly's Stadium,Gold Coast,Western Bulldogs,Western Bulldogs
2016-07-17 13:10:00,17,M.C.G.,West Coast,Carlton,West Coast
2016-07-17 15:20:00,17,Docklands,Melbourne,St Kilda,St Kilda
2016-07-17 16:40:00,17,Gabba,Greater Western Sydney,Brisbane Lions,Greater Western Sydney
2016-07-22 19:50:00,18,Docklands,North Melbourne,Collingwood,North Melbourne
2016-07-23 13:45:00,18,S.C.G.,Carlton,Sydney,Sydney
2016-07-23 14:10:00,18,Carrara,Fremantle,Gold Coast,Gold Coast
2016-07-23 14:35:00,18,Subiaco,Melbourne,West Coast,West Coast
2016-07-23 19:25:00,18,Kardinia Park,Adelaide,Geelong,Geelong
2016-07-23 19:25:00,18,Docklands,St Kilda,Western Bulldogs,St Kilda
2016-07-24 13:10:00,18,Docklands,Brisbane Lions,Essendon,Brisbane Lions
2016-07-24 15:20:00,18,M.C.G.,Richmond,Hawthorn,Hawthorn
2016-07-24 16:10:00,18,Adelaide Oval,Greater Western Sydney,Port Adelaide,Greater Western Sydney
2016-07-29 19:50:00,19,Kardinia Park,Western Bulldogs,Geelong,Geelong
2016-07-30 13:45:00,19,Manuka Oval,Richmond,Greater Western Sydney,Greater Western Sydney
2016-07-30 14:10:00,19,York Park,Carlton,Hawthorn,Hawthorn
2016-07-30 16:35:00,19,M.C.G.,West Coast,Collingwood,Collingwood
2016-07-30 19:25:00,19,Gabba,Port Adelaide,Brisbane Lions,Port Adelaide
2016-07-30 19:25:00,19,Docklands,St Kilda,North Melbourne,North Melbourne
2016-07-31 13:10:00,19,M.C.G.,Gold Coast,Melbourne,Melbourne
2016-07-31 13:20:00,19,Subiaco,Sydney,Fremantle,Sydney
2016-07-31 16:10:00,19,Adelaide Oval,Essendon,Adelaide,Adelaide
2016-08-05 19:50:00,20,M.C.G.,Collingwood,Richmond,Richmond
2016-08-06 13:45:00,20,S.C.G.,Port Adelaide,Sydney,Sydney
2016-08-06 14:10:00,20,M.C.G.,Hawthorn,Melbourne,Melbourne
2016-08-06 16:35:00,20,Carrara,Greater Western Sydney,Gold Coast,Greater Western Sydney
2016-08-06 19:10:00,20,Adelaide Oval,Brisbane Lions,Adelaide,Adelaide
2016-08-06 19:25:00,20,Docklands,North Melbourne,Western Bulldogs,Western Bulldogs
2016-08-07 13:10:00,20,M.C.G.,St Kilda,Carlton,St Kilda
2016-08-07 14:40:00,20,Subiaco,West Coast,Fremantle,West Coast
2016-08-07 15:20:00,20,Docklands,Essendon,Geelong,Geelong
2016-08-12 19:50:00,21,Docklands,Collingwood,Western Bulldogs,Western Bulldogs
2016-08-13 13:45:00,21,Gabba,Carlton,Brisbane Lions,Brisbane Lions
2016-08-13 14:10:00,21,M.C.G.,North Melbourne,Hawthorn,Hawthorn
2016-08-13 16:35:00,21,Sydney Showground,West Coast,Greater Western Sydney,West Coast
2016-08-13 19:10:00,21,Adelaide Oval,Melbourne,Port Adelaide,Melbourne
2016-08-13 19:25:00,21,Docklands,Sydney,St Kilda,Sydney
2016-08-14 13:10:00,21,Docklands,Gold Coast,Essendon,Essendon
2016-08-14 14:40:00,21,Subiaco,Adelaide,Fremantle,Adelaide
2016-08-14 15:20:00,21,M.C.G.,Geelong,Richmond,Geelong
2016-08-19 18:10:00,22,Subiaco,Hawthorn,West Coast,West Coast
2016-08-20 13:45:00,22,Bellerive Oval,Sydney,North Melbourne,Sydney
2016-08-20 14:10:00,22,M.C.G.,St Kilda,Richmond,St Kilda
2016-08-20 16:35:00,22,Sydney Showground,Fremantle,Greater Western Sydney,Greater Western Sydney
2016-08-20 19:10:00,22,Adelaide Oval,Adelaide,Port Adelaide,Adelaide
2016-08-20 19:25:00,22,Docklands,Gold Coast,Collingwood,Collingwood
2016-08-21 13:10:00,22,M.C.G.,Melbourne,Carlton,Carlton
2016-08-21 15:20:00,22,Gabba,Geelong,Brisbane Lions,Geelong
2016-08-21 16:40:00,22,Docklands,Western Bulldogs,Essendon,Western Bulldogs
2016-08-26 19:40:00,23,Adelaide Oval,West Coast,Adelaide,West Coast
2016-08-27 13:45:00,23,Kardinia Park,Melbourne,Geelong,Geelong
2016-08-27 14:10:00,23,M.C.G.,Carlton,Essendon,Essendon
2016-08-27 16:35:00,23,S.C.G.,Richmond,Sydney,Sydney
2016-08-27 19:25:00,23,Carrara,Port Adelaide,Gold Coast,Port Adelaide
2016-08-27 19:25:00,23,Docklands,Greater Western Sydney,North Melbourne,Greater Western Sydney
2016-08-28 13:10:00,23,Docklands,Brisbane Lions,St Kilda,St Kilda
2016-08-28 14:40:00,23,Subiaco,Western Bulldogs,Fremantle,Fremantle
2016-08-28 15:20:00,23,M.C.G.,Collingwood,Hawthorn,Hawthorn
2016-09-08 18:10:00,24,Subiaco,Western Bulldogs,West Coast,Western Bulldogs
2016-09-09 19:50:00,24,M.C.G.,Hawthorn,Geelong,Geelong
2016-09-10 15:20:00,24,Stadium Australia,Greater Western Sydney,Sydney,Greater Western Sydney
2016-09-10 19:10:00,24,Adelaide Oval,North Melbourne,Adelaide,Adelaide
2016-09-16 19:50:00,25,M.C.G.,Western Bulldogs,Hawthorn,Western Bulldogs
2016-09-17 19:25:00,25,S.C.G.,Adelaide,Sydney,Sydney
2016-09-23 19:50:00,26,M.C.G.,Sydney,Geelong,Sydney
2016-09-24 17:15:00,26,Sydney Showground,Western Bulldogs,Greater Western Sydney,Western Bulldogs
2016-10-01 14:30:00,27,M.C.G.,Western Bulldogs,Sydney,Western Bulldogs
2017-03-23 19:20:00,1,M.C.G.,Richmond,Carlton,Richmond
2017-03-24 19:50:00,1,M.C.G.,Western Bulldogs,Collingwood,Western Bulldogs
2017-03-25 16:35:00,1,Docklands,Melbourne,St Kilda,Melbourne
2017-03-25 16:35:00,1,S.C.G.,Port Adelaide,Sydney,Port Adelaide
2017-03-25 19:25:00,1,M.C.G.,Hawthorn,Essendon,Essendon
2017-03-25 20:05:00,1,Carrara,Brisbane Lions,Gold Coast,Brisbane Lions
2017-03-26 13:10:00,1,Docklands,West Coast,North Melbourne,West Coast
2017-03-26 15:20:00,1,Adelaide Oval,Greater Western Sydney,Adelaide,Adelaide
2017-03-26 19:40:00,1,Subiaco,Geelong,Fremantle,Geelong
2017-03-30 19:20:00,2,M.C.G.,Collingwood,Richmond,Richmond
2017-03-31 19:50:00,2,Docklands,Sydney,Western Bulldogs,Western Bulldogs
2017-04-01 13:45:00,2,M.C.G.,Adelaide,Hawthorn,Adelaide
2017-04-01 16:35:00,2,Sydney Showground,Gold Coast,Greater Western Sydney,Greater Western Sydney
2017-04-01 19:25:00,2,Gabba,Essendon,Brisbane Lions,Essendon
2017-04-01 19:40:00,2,Subiaco,St Kilda,West Coast,West Coast
2017-04-02 13:10:00,2,Docklands,North Melbourne,Geelong,Geelong
2017-04-02 15:20:00,2,M.C.G.,Carlton,Melbourne,Melbourne
2017-04-02 16:40:00,2,Adelaide Oval,Fremantle,Port Adelaide,Port Adelaide
2017-04-07 19:50:00,3,S.C.G.,Collingwood,Sydney,Collingwood
2017-04-08 13:45:00,3,Bellerive Oval,Greater Western Sydney,North Melbourne,Greater Western Sydney
2017-04-08 14:10:00,3,M.C.G.,West Coast,Richmond,Richmond
2017-04-08 16:35:00,3,Docklands,Melbourne,Geelong,Geelong
2017-04-08 19:40:00,3,Subiaco,Western Bulldogs,Fremantle,Fremantle
2017-04-08 19:40:00,3,Adelaide Oval,Adelaide,Port Adelaide,Adelaide
2017-04-09 13:10:00,3,Docklands,Brisbane Lions,St Kilda,St Kilda
2017-04-09 15:20:00,3,M.C.G.,Essendon,Carlton,Carlton
2017-04-09 16:40:00,3,Carrara,Hawthorn,Gold Coast,Gold Coast
2017-04-13 20:10:00,4,Subiaco,Sydney,West Coast,West Coast
2017-04-14 16:20:00,4,Docklands,Western Bulldogs,North Melbourne,Western Bulldogs
2017-04-15 13:45:00,4,M.C.G.,Fremantle,Melbourne,Fremantle
2017-04-15 16:35:00,4,UNSW Canberra Oval,Port Adelaide,Greater Western Sydney,Greater Western Sydney
2017-04-15 19:25:00,4,Docklands,Gold Coast,Carlton,Gold Coast
2017-04-15 19:40:00,4,Adelaide Oval,Essendon,Adelaide,Adelaide
2017-04-16 15:20:00,4,Docklands,St Kilda,Collingwood,St Kilda
2017-04-16 16:40:00,4,Gabba,Richmond,Brisbane Lions,Richmond
2017-04-17 15:20:00,4,M.C.G.,Geelong,Hawthorn,Geelong
2017-04-21 19:50:00,5,Adelaide Oval,Carlton,Port Adelaide,Port Adelaide
2017-04-22 13:45:00,5,Docklands,Brisbane Lions,Western Bulldogs,Western Bulldogs
2017-04-22 16:35:00,5,Carrara,Adelaide,Gold Coast,Adelaide
2017-04-22 19:25:00,5,S.C.G.,Greater Western Sydney,Sydney,Greater Western Sydney
2017-04-22 19:40:00,5,Subiaco,North Melbourne,Fremantle,Fremantle
2017-04-23 15:20:00,5,Docklands,Geelong,St Kilda,Geelong
2017-04-23 16:40:00,5,M.C.G.,West Coast,Hawthorn,Hawthorn
2017-04-24 19:25:00,5,M.C.G.,Melbourne,Richmond,Richmond
2017-04-25 15:20:00,5,M.C.G.,Collingwood,Essendon,Essendon
2017-04-28 19:50:00,6,UNSW Canberra Oval,Western Bulldogs,Greater Western Sydney,Greater Western Sydney
2017-04-29 13:45:00,6,University of Tasmania Stadium,St Kilda,Hawthorn,St Kilda
2017-04-29 14:10:00,6,M.C.G.,Sydney,Carlton,Carlton
2017-04-29 16:35:00,6,Gabba,Port Adelaide,Brisbane Lions,Port Adelaide
2017-04-29 19:25:00,6,Docklands,Gold Coast,North Melbourne,North Melbourne
2017-04-29 20:10:00,6,Subiaco,Fremantle,West Coast,West Coast
2017-04-30 13:10:00,6,Docklands,Melbourne,Essendon,Melbourne
2017-04-30 15:20:00,6,M.C.G.,Collingwood,Geelong,Collingwood
2017-04-30 16:40:00,6,Adelaide Oval,Richmond,Adelaide,Adelaide
2017-05-05 19:50:00,7,Docklands,Greater Western Sydney,St Kilda,St Kilda
2017-05-06 13:45:00,7,Bellerive Oval,Adelaide,North Melbourne,North Melbourne
2017-05-06 14:10:00,7,M.C.G.,Carlton,Collingwood,Carlton
2017-05-06 16:35:00,7,Adelaide Oval,West Coast,Port Adelaide,West Coast
2017-05-06 19:25:00,7,Carrara,Geelong,Gold Coast,Gold Coast
2017-05-06 19:25:00,7,Docklands,Richmond,Western Bulldogs,Western Bulldogs
2017-05-07 13:10:00,7,S.C.G.,Brisbane Lions,Sydney,Sydney
2017-05-07 15:20:00,7,M.C.G.,Hawthorn,Melbourne,Hawthorn
2017-05-07 16:40:00,7,Subiaco,Essendon,Fremantle,Fremantle
2017-05-12 20:10:00,8,Subiaco,Western Bulldogs,West Coast,West Coast
2017-05-13 13:45:00,8,University of Tasmania Stadium,Brisbane Lions,Hawthorn,Hawthorn
2017-05-13 14:10:00,8,Docklands,Carlton,St Kilda,St Kilda
2017-05-13 16:35:00,8,Sydney Showground,Collingwood,Greater Western Sydney,Greater Western Sydney
2017-05-13 19:25:00,8,M.C.G.,Geelong,Essendon,Essendon
2017-05-13 19:40:00,8,Adelaide Oval,Melbourne,Adelaide,Melbourne
2017-05-14 13:10:00,8,M.C.G.,Fremantle,Richmond,Fremantle
2017-05-14 15:15:00,8,Adelaide Arena at Jiangwan Stadium,Port Adelaide,Gold Coast,Port Adelaide
2017-05-14 16:40:00,8,Docklands,Sydney,North Melbourne,Sydney
2017-05-19 19:50:00,9,GMHBA Stadium,Western Bulldogs,Geelong,Geelong
2017-05-20 13:45:00,9,Docklands,Sydney,St Kilda,Sydney
2017-05-20 16:35:00,9,Sydney Showground,Richmond,Greater Western Sydney,Greater Western Sydney
2017-05-20 19:25:00,9,Gabba,Adelaide,Brisbane Lions,Adelaide
2017-05-20 19:25:00,9,M.C.G.,Hawthorn,Collingwood,Collingwood
2017-05-21 13:10:00,9,Docklands,West Coast,Essendon,Essendon
2017-05-21 15:20:00,9,M.C.G.,North Melbourne,Melbourne,North Melbourne
2017-05-21 16:40:00,9,Subiaco,Carlton,Fremantle,Fremantle
2017-05-25 19:20:00,10,GMHBA Stadium,Port Adelaide,Geelong,Geelong
2017-05-26 19:50:00,10,S.C.G.,Hawthorn,Sydney,Hawthorn
2017-05-27 13:45:00,10,Docklands,St Kilda,Western Bulldogs,Western Bulldogs
2017-05-27 16:35:00,10,Traeger Park,Gold Coast,Melbourne,Melbourne
2017-05-27 19:25:00,10,M.C.G.,Essendon,Richmond,Richmond
2017-05-27 19:40:00,10,Adelaide Oval,Fremantle,Adelaide,Adelaide
2017-05-28 13:10:00,10,M.C.G.,Brisbane Lions,Collingwood,Collingwood
2017-05-28 15:20:00,10,Docklands,North Melbourne,Carlton,North Melbourne
2017-05-28 16:40:00,10,Subiaco,Greater Western Sydney,West Coast,Greater Western Sydney
2017-06-01 19:50:00,11,Adelaide Oval,Hawthorn,Port Adelaide,Port Adelaide
2017-06-02 19:50:00,11,GMHBA Stadium,Adelaide,Geelong,Geelong
2017-06-03 13:45:00,11,Carrara,West Coast,Gold Coast,Gold Coast
2017-06-03 16:35:00,11,Sydney Showground,Essendon,Greater Western Sydney,Greater Western Sydney
2017-06-03 19:25:00,11,Docklands,Richmond,North Melbourne,Richmond
2017-06-04 16:40:00,11,Subiaco,Collingwood,Fremantle,Collingwood
2017-06-08 19:20:00,12,S.C.G.,Western Bulldogs,Sydney,Sydney
2017-06-09 19:50:00,12,Adelaide Oval,St Kilda,Adelaide,Adelaide
2017-06-10 13:45:00,12,M.C.G.,Gold Coast,Hawthorn,Gold Coast
2017-06-10 16:35:00,12,Gabba,Fremantle,Brisbane Lions,Brisbane Lions
2017-06-10 19:25:00,12,Docklands,Port Adelaide,Essendon,Essendon
2017-06-11 15:20:00,12,Docklands,Greater Western Sydney,Carlton,Carlton
2017-06-12 15:20:00,12,M.C.G.,Collingwood,Melbourne,Melbourne
2017-06-15 20:10:00,13,Subiaco,Geelong,West Coast,West Coast
2017-06-16 19:50:00,13,Docklands,St Kilda,North Melbourne,St Kilda
2017-06-17 13:45:00,13,M.C.G.,Sydney,Richmond,Sydney
2017-06-17 16:35:00,13,Adelaide Oval,Brisbane Lions,Port Adelaide,Port Adelaide
2017-06-17 19:25:00,13,Carrara,Carlton,Gold Coast,Carlton
2017-06-18 15:20:00,13,Docklands,Melbourne,Western Bulldogs,Melbourne
2017-06-22 19:50:00,14,Adelaide Oval,Hawthorn,Adelaide,Hawthorn
2017-06-23 19:50:00,14,S.C.G.,Essendon,Sydney,Sydney
2017-06-24 13:45:00,14,M.C.G.,Port Adelaide,Collingwood,Port Adelaide
2017-06-24 16:35:00,14,Gabba,Greater Western Sydney,Brisbane Lions,Greater Western Sydney
2017-06-24 19:25:00,14,Docklands,North Melbourne,Western Bulldogs,Western Bulldogs
2017-06-24 19:40:00,14,Subiaco,Melbourne,West Coast,Melbourne
2017-06-25 13:10:00,14,GMHBA Stadium,Fremantle,Geelong,Geelong
2017-06-25 15:20:00,14,M.C.G.,Carlton,Richmond,Richmond
2017-06-25 16:40:00,14,Docklands,Gold Coast,St Kilda,St Kilda
2017-06-30 19:50:00,15,M.C.G.,Sydney,Melbourne,Sydney
2017-07-01 13:45:00,15,Docklands,West Coast,Western Bulldogs,West Coast
2017-07-01 14:10:00,15,M.C.G.,Adelaide,Carlton,Adelaide
2017-07-01 16:35:00,15,Carrara,North Melbourne,Gold Coast,Gold Coast
2017-07-01 19:25:00,15,Sydney Showground,Geelong,Greater Western Sydney,
2017-07-01 19:40:00,15,Adelaide Oval,Richmond,Port Adelaide,Richmond
2017-07-02 13:10:00,15,Docklands,Brisbane Lions,Essendon,Brisbane Lions
2017-07-02 15:20:00,15,M.C.G.,Collingwood,Hawthorn,Hawthorn
2017-07-02 16:40:00,15,Subiaco,St Kilda,Fremantle,St Kilda
2017-07-07 19:50:00,16,Adelaide Oval,Western Bulldogs,Adelaide,Adelaide
2017-07-08 13:45:00,16,University of Tasmania Stadium,Greater Western Sydney,Hawthorn,
2017-07-08 14:10:00,16,M.C.G.,Essendon,Collingwood,Essendon
2017-07-08 16:35:00,16,S.C.G.,Gold Coast,Sydney,Sydney
2017-07-08 19:25:00,16,Gabba,Geelong,Brisbane Lions,Geelong
2017-07-08 19:25:00,16,Docklands,Richmond,St Kilda,St Kilda
2017-07-09 13:10:00,16,Docklands,Fremantle,North Melbourne,Fremantle
2017-07-09 15:20:00,16,M.C.G.,Melbourne,Carlton,Melbourne
2017-07-09 16:40:00,16,Subiaco,Port Adelaide,West Coast,Port Adelaide
2017-07-14 19:50:00,17,Docklands,Essendon,St Kilda,Essendon
2017-07-15 13:45:00,17,M.C.G.,Hawthorn,Geelong,Geelong
2017-07-15 14:10:00,17,Adelaide Oval,North Melbourne,Port Adelaide,Port Adelaide
2017-07-15 16:35:00,17,Carrara,Collingwood,Gold Coast,Collingwood
