Date,Round,Venue,A_Team,B_Team,Winner
2012-04-22 16:40:00,4,M.C.G.,Western Bulldogs,Melbourne,Western Bulldogs
2012-04-25 14:40:00,5,M.C.G.,Essendon,Collingwood,Collingwood
2012-04-27 20:45:00,5,Subiaco,Carlton,Fremantle,Carlton
2012-04-28 13:45:00,5,UNSW Canberra Oval,Western Bulldogs,Greater Western Sydney,Western Bulldogs
2012-04-28 16:40:00,5,Docklands,Gold Coast,North Melbourne,North Melbourne
2012-04-28 19:40:00,5,M.C.G.,St Kilda,Melbourne,St Kilda
2012-04-28 19:45:00,5,Gabba,Geelong,Brisbane Lions,Geelong
2012-04-29 13:10:00,5,University of Tasmania Stadium,Sydney,Hawthorn,Sydney
2012-04-29 15:15:00,5,Docklands,West Coast,Richmond,West Coast
2012-04-29 16:40:00,5,Football Park,Port Adelaide,Adelaide,Adelaide
2012-05-04 19:50:00,6,Docklands,Collingwood,Western Bulldogs,Collingwood
2012-05-05 13:40:00,6,Docklands,Brisbane Lions,Essendon,Essendon
2012-05-05 13:45:00,6,GMHBA Stadium,Melbourne,Geelong,Geelong
2012-05-05 16:40:00,6,Carrara,Fremantle,Gold Coast,Fremantle
2012-05-05 19:40:00,6,M.C.G.,Hawthorn,St Kilda,Hawthorn
2012-05-05 19:40:00,6,S.C.G.,Adelaide,Sydney,Adelaide
2012-05-06 13:10:00,6,Docklands,Greater Western Sydney,Carlton,Carlton
2012-05-06 15:15:00,6,Football Park,Richmond,Port Adelaide,Richmond
2012-05-06 16:40:00,6,Subiaco,North Melbourne,West Coast,West Coast
2012-05-11 19:50:00,7,M.C.G.,Hawthorn,Melbourne,Hawthorn
2012-05-12 13:15:00,7,Football Park,Geelong,Adelaide,Adelaide
2012-05-12 13:40:00,7,UNSW Canberra Oval,Gold Coast,Greater Western Sydney,Greater Western Sydney
2012-05-12 16:40:00,7,M.C.G.,Sydney,Richmond,Richmond
2012-05-12 19:40:00,7,Gabba,Collingwood,Brisbane Lions,Collingwood
2012-05-12 19:40:00,7,Docklands,West Coast,Essendon,Essendon
2012-05-13 13:10:00,7,Docklands,Western Bulldogs,North Melbourne,Western Bulldogs
2012-05-13 16:40:00,7,Subiaco,Port Adelaide,Fremantle,Fremantle
2012-05-14 19:40:00,7,Docklands,Carlton,St Kilda,St Kilda
2012-05-18 19:50:00,8,M.C.G.,Geelong,Collingwood,Collingwood
2012-05-19 13:45:00,8,Football Park,North Melbourne,Port Adelaide,Port Adelaide
2012-05-19 14:10:00,8,University of Tasmania Stadium,Fremantle,Hawthorn,Hawthorn
2012-05-19 16:40:00,8,S.C.G.,Melbourne,Sydney,Sydney
2012-05-19 19:40:00,8,Marrara Oval,Gold Coast,Western Bulldogs,Western Bulldogs
2012-05-19 19:50:00,8,M.C.G.,Richmond,Essendon,Essendon
2012-05-20 13:10:00,8,Gabba,Greater Western Sydney,Brisbane Lions,Brisbane Lions
2012-05-20 15:15:00,8,Docklands,Adelaide,Carlton,Adelaide
2012-05-20 16:40:00,8,Subiaco,St Kilda,West Coast,West Coast
2012-05-25 19:50:00,9,Docklands,Geelong,Western Bulldogs,Geelong
2012-05-26 13:45:00,9,M.C.G.,Hawthorn,Richmond,Richmond
2012-05-26 14:10:00,9,Carrara,Port Adelaide,Gold Coast,Port Adelaide
2012-05-26 16:40:00,9,Docklands,Sydney,St Kilda,St Kilda
2012-05-26 19:40:00,9,Football Park,Collingwood,Adelaide,Collingwood
2012-05-26 19:40:00,9,Sydney Showground,Essendon,Greater Western Sydney,Essendon
2012-05-27 13:10:00,9,Docklands,Brisbane Lions,North Melbourne,North Melbourne
2012-05-27 15:15:00,9,M.C.G.,Melbourne,Carlton,Carlton
2012-05-27 16:40:00,9,Subiaco,Fremantle,West Coast,West Coast
2012-06-01 19:50:00,10,Docklands,Richmond,St Kilda,Richmond
2012-06-02 13:45:00,10,GMHBA Stadium,Greater Western Sydney,Geelong,Geelong
2012-06-02 14:10:00,10,University of Tasmania Stadium,North Melbourne,Hawthorn,Hawthorn
2012-06-02 16:40:00,10,Subiaco,Adelaide,Fremantle,Adelaide
2012-06-02 19:40:00,10,M.C.G.,Melbourne,Essendon,Melbourne
2012-06-02 19:40:00,10,Football Park,Carlton,Port Adelaide,Port Adelaide
2012-06-03 13:10:00,10,Gabba,West Coast,Brisbane Lions,Brisbane Lions
2012-06-03 15:15:00,10,S.C.G.,Western Bulldogs,Sydney,Sydney
2012-06-03 16:40:00,10,M.C.G.,Gold Coast,Collingwood,Collingwood
2012-06-08 19:50:00,11,Docklands,Geelong,Carlton,Geelong
2012-06-09 13:40:00,11,M.C.G.,Fremantle,Richmond,Fremantle
2012-06-09 16:40:00,11,Carrara,St Kilda,Gold Coast,St Kilda
2012-06-09 19:40:00,11,Docklands,Sydney,Essendon,Sydney
2012-06-10 16:40:00,11,Football Park,Hawthorn,Port Adelaide,Hawthorn
2012-06-11 15:15:00,11,M.C.G.,Collingwood,Melbourne,Collingwood
2012-06-14 19:40:00,12,Subiaco,Carlton,West Coast,West Coast
2012-06-15 20:40:00,12,Football Park,St Kilda,Adelaide,Adelaide
2012-06-16 14:10:00,12,Sydney Showground,Richmond,Greater Western Sydney,Richmond
2012-06-16 19:40:00,12,Carrara,North Melbourne,Gold Coast,North Melbourne
2012-06-17 13:10:00,12,M.C.G.,Brisbane Lions,Hawthorn,Hawthorn
2012-06-17 16:40:00,12,Docklands,Port Adelaide,Western Bulldogs,Western Bulldogs
2012-06-22 19:50:00,13,S.C.G.,Geelong,Sydney,Sydney
2012-06-23 13:40:00,13,Docklands,Brisbane Lions,Western Bulldogs,Brisbane Lions
2012-06-23 16:40:00,13,M.C.G.,West Coast,Collingwood,Collingwood
2012-06-23 19:40:00,13,Subiaco,Essendon,Fremantle,Essendon
2012-06-24 15:15:00,13,M.C.G.,Greater Western Sydney,Melbourne,Melbourne
2012-06-24 16:40:00,13,Docklands,Adelaide,North Melbourne,North Melbourne
2012-06-29 19:50:00,14,M.C.G.,Hawthorn,Carlton,Hawthorn
2012-06-30 13:45:00,14,M.C.G.,Fremantle,Collingwood,Collingwood
2012-06-30 14:10:00,14,Football Park,Richmond,Adelaide,Adelaide
